attack,classfication,defense,height_m,hp,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
49,Seed Pokémon,49,0.7,45,Bulbasaur,1,65,65,45,grass,poison,6.9,1,0
62,Seed Pokémon,63,1,60,Ivysaur,2,80,80,60,grass,poison,13,1,0
100,Seed Pokémon,123,2,80,Venusaur,3,122,120,80,grass,poison,100,1,0
52,Lizard Pokémon,43,0.6,39,Charmander,4,60,50,65,fire,,8.5,1,0
64,Flame Pokémon,58,1.1,58,Charmeleon,5,80,65,80,fire,,19,1,0
104,Flame Pokémon,78,1.7,78,Charizard,6,159,115,100,fire,flying,90.5,1,0
48,Tiny Turtle Pokémon,65,0.5,44,Squirtle,7,50,64,43,water,,9,1,0
63,Turtle Pokémon,80,1,59,Wartortle,8,65,80,58,water,,22.5,1,0
103,Shellfish Pokémon,120,1.6,79,Blastoise,9,135,115,78,water,,85.5,1,0
30,Worm Pokémon,35,0.3,45,Caterpie,10,20,20,45,bug,,2.9,1,0
20,Cocoon Pokémon,55,0.7,50,Metapod,11,25,25,30,bug,,9.9,1,0
45,Butterfly Pokémon,50,1.1,60,Butterfree,12,90,80,70,bug,flying,32,1,0
35,Hairy Pokémon,30,0.3,40,Weedle,13,20,20,50,bug,poison,3.2,1,0
25,Cocoon Pokémon,50,0.6,45,Kakuna,14,25,25,35,bug,poison,10,1,0
150,Poison Bee Pokémon,40,1,65,Beedrill,15,15,80,145,bug,poison,29.5,1,0
45,Tiny Bird Pokémon,40,0.3,40,Pidgey,16,35,35,56,normal,flying,1.8,1,0
60,Bird Pokémon,55,1.1,63,Pidgeotto,17,50,50,71,normal,flying,30,1,0
80,Bird Pokémon,80,1.5,83,Pidgeot,18,135,80,121,normal,flying,39.5,1,0
56,Mouse Pokémon,35,0.3,30,Rattata,19,25,35,72,normal,,3.5,1,0
71,Mouse Pokémon,70,0.7,75,Raticate,20,40,80,77,normal,,18.5,1,0
